state rawpoll_johnson adjpoll_johnson
U.S. 10.0 4.693668
Ohio 6.0 4.65364
Pennsylvania 6.0 4.65364
Florida 4.0 2.65364
"North Carolina" 6.0 4.65364
Washington 6.55 5.232765
U.S. 4.0 3.487113
"New York" 6.0 3.137208
"South Dakota" 11.0 7.654415
Maine 10.0 7.137208
Arizona 6.8 5.482765
"New Hampshire" 4.48 2.613567
Delaware 12.04 10.17357
Indiana 10.0 6.920096
Minnesota 8.21 6.892765
Georgia 8.0 5.137209
Montana 9.0 5.654415
"North Dakota" 12.0 8.654415
"New Mexico" 18.0 13.71638
Michigan 6.06 4.742764
Georgia 8.0 4.938689
U.S. 6.0 4.85823
U.S. 5.9 4.411063
Nebraska 11.0 7.654415
"West Virginia" 7.0 3.654415
Nevada 9.0 4.716384
U.S. 8.0 3.855786
Virginia 7.69 6.372764
U.S. 7.3 4.746729
Mississippi 5.0 2.333669
Florida 6.0 2.940291
U.S. 6.0 3.753973
"Rhode Island" 8.0 5.333669
"Rhode Island" 7.0 3.654415
Florida 2.0 0.1934316
"New Hampshire" 12.0 9.33367
Vermont 9.0 6.333669
Delaware 8.0 4.654415
Indiana 7.47 6.152764
Hawaii 4.87 3.003567
Missouri 8.85 7.532765
Wisconsin 6.39 5.072764
Oklahoma 11.0 7.654415
Hawaii 7.0 4.333669
Delaware 6.0 3.333669
Montana 11.0 8.33367
Maryland 6.0 3.333669
Arkansas 5.0 2.333669
"New Hampshire" 11.0 6.681147
U.S. 5.0 2.907405
"New York" 6.0 1.786235
Washington 8.0 5.333669
Pennsylvania 5.0 1.562624
"New Jersey" 4.0 1.333669
"North Carolina" 5.85 4.532764
Arkansas 7.0 3.654415
U.S. 8.0 5.356941
Oklahoma 11.0 8.33367
Tennessee 6.0 2.654415
"Rhode Island" 4.1 2.233567
Idaho 11.0 8.33367
Vermont 10.0 6.654415
Maryland 6.0 2.654415
Missouri 8.0 5.445687
Alaska 11.0 8.33367
Idaho 15.0 11.65442
U.S. 10.0 6.99203
"District of Columbia" 4.0 1.333669
Connecticut 4.0 1.333669
Pennsylvania 6.0 3.910772
U.S. 12.0 7.219244
"New Jersey" 4.76 3.442765
Maine 7.0 4.333669
"New Hampshire" 11.0 7.654415
Massachusetts 8.0 5.333669
Indiana 11.0 8.33367
Wyoming 8.0 5.333669
Illinois 8.0 5.333669
Kentucky 8.0 4.654415
Utah 13.0 8.864213
Connecticut 7.0 3.654415
Wisconsin 12.0 7.716384
Louisiana 4.0 0.6544144
Iowa 6.0 3.821634
"West Virginia" 5.0 2.333669
Virginia 11.0 7.217079
Vermont 5.53 3.663567
Alabama 6.0 3.333669
Iowa 10.0 7.333669
"North Carolina" 7.7 3.918445
Alaska 10.0 7.14554
Colorado 6.0 3.574836
Hawaii 8.0 4.654415
Arkansas 10.11 8.243567
U.S. 6.0 3.42607
"North Dakota" 11.0 8.33367
Tennessee 5.0 2.333669
"New Mexico" 18.0 15.33367
Mississippi 4.0 0.6544144
Missouri 9.0 5.654415
Utah 7.0 4.309115
Missouri 10.0 7.333669
"New Hampshire" 14.0 10.26337
Idaho 3.14 1.273567
"South Dakota" 12.0 9.33367
Oregon 7.0 4.333669
Alabama 8.0 4.654415
Indiana 12.0 8.654415
"District of Columbia" 7.31 5.443567
Minnesota 9.0 6.333669
Arizona 7.0 4.255481
Colorado 13.0 9.442524
Idaho 13.0 9.487846
Pennsylvania 3.0 1.268418
Nebraska 10.0 7.333669
Nevada 11.0 8.33367
Ohio 6.33 5.012764
Florida 5.7 1.522665
Florida 8.0 4.738902
Kansas 13.0 10.33367
Iowa 9.0 5.654415
Maine 7.0 3.654415
"South Dakota" 2.15 0.2835668
Wyoming 5.66 3.793567
"New Mexico" 13.27 11.40357
Pennsylvania 6.9 3.11679
Nevada 5.29 3.423567
Louisiana 5.0 2.333669
"West Virginia" 9.31 7.443567
Nebraska 6.66 4.793567
"New Hampshire" 12.0 8.438615
Wisconsin 8.0 5.333669
Kentucky 8.0 5.333669
Mississippi 3.97 2.103567
Pennsylvania 5.53 4.212764
"New Hampshire" 5.0 3.034159
Alaska 11.0 8.074096
U.S. 9.0 5.364256
Washington 9.0 5.654415
U.S. 10.0 6.012448
U.S. 6.0 4.718831
"South Carolina" 6.0 3.333669
Illinois 8.0 4.654415
Louisiana 8.11 6.243567
Illinois 6.7 5.382764
Arizona 8.0 5.333669
"New York" 5.19 3.872764
Ohio 9.8 6.017169
Arizona 8.3 4.395236
"New Mexico" 16.0 14.41095
"New Mexico" 20.0 16.65442
Michigan 5.0 3.37809
"North Dakota" 16.91 15.04357
"New Jersey" 4.0 0.6544144
Colorado 11.0 8.33367
Massachusetts 6.0 2.654415
Nevada 11.0 7.869622
Kansas 11.0 7.654415
Oklahoma 11.55 9.683567
Virginia 15.0 10.30418
Oregon 9.0 5.654415
Wisconsin 9.0 5.654415
Texas 7.46 6.142765
Ohio 12.0 6.775148
"New York" 4.0 1.333669
