id,release_date,title,vote_average,vote_count,Label
159014,2013-06-14,20 Feet from Stardom,7.4,85,good
11697,1962-04-22,The Man Who Shot Liberty Valance,7.4,265,good
9444,1997-11-20,Anastasia,7.4,1432,good
824,2001-03-09,Moulin Rouge!,7.4,1300,good
9023,2002-05-24,Spirit: Stallion of the Cimarron,7.4,831,good
18079,2000-08-31,Nine Queens,7.4,153,good
137,1993-02-11,Groundhog Day,7.4,2301,good
16161,2001-06-27,Baby Boy,7.4,55,good
10705,1989-10-05,Henry V,7.4,71,good
16320,2005-08-25,Serenity,7.4,1264,good
12837,2008-09-17,The Secret Life of Bees,7.4,158,good
165,1989-11-20,Back to the Future Part II,7.4,3829,good
193756,2013-12-24,Lone Survivor,7.4,1526,good
13475,2009-05-06,Star Trek,7.4,4518,good
49020,2011-03-18,Submarine,7.4,443,good
71,2000-05-18,Billy Elliot,7.4,750,good
71859,2011-09-28,We Need to Talk About Kevin,7.4,677,good
101299,2013-11-15,The Hunger Games: Catching Fire,7.4,6495,good
4251,2004-11-12,Veer-Zaara,7.4,64,good
11901,1973-04-19,High Plains Drifter,7.4,278,good
9366,1997-02-27,Donnie Brasco,7.4,1147,good
3059,1916-09-04,Intolerance,7.4,60,good
11969,1993-12-25,Tombstone,7.4,626,good
812,1992-11-25,Aladdin,7.4,3416,good
33106,2009-01-20,Silver Medalist,7.4,13,good
4347,2007-08-29,Atonement,7.4,1049,good
746,1987-10-21,The Last Emperor,7.4,355,good
9571,1993-09-24,Dazed and Confused,7.4,583,good
10637,2000-09-29,Remember the Titans,7.4,821,good
54138,2013-05-05,Star Trek Into Darkness,7.4,4418,good
1779,1989-09-01,Roger & Me,7.4,90,good
203833,2013-11-08,The Book Thief,7.4,1486,good
1726,2008-04-30,Iron Man,7.4,8776,good
80215,2012-05-18,Indie Game: The Movie,7.4,203,good
293863,2015-04-16,The Age of Adaline,7.4,1990,good
11658,2004-02-05,Tae Guk Gi: The Brotherhood of War,7.4,133,good
13403,2001-07-20,Hedwig and the Angry Inch,7.4,80,good
64690,2011-08-06,Drive,7.4,3725,good
15121,1965-03-02,The Sound of Music,7.4,941,good
1523,2006-09-01,The Last King of Scotland,7.4,558,good
650,1991-07-12,Boyz n the Hood,7.4,364,good
14736,2000-04-21,Love & Basketball,7.4,88,good
79120,2011-09-22,Weekend,7.4,163,good
194662,2014-08-27,Birdman,7.4,4535,good
11798,2006-09-12,This Is England,7.4,363,good
675,2007-06-28,Harry Potter and the Order of the Phoenix,7.4,5494,good
1542,1999-02-19,Office Space,7.4,1050,good
16619,1980-09-19,Ordinary People,7.4,145,good
2292,1994-09-13,Clerks,7.4,755,good
129670,2013-09-21,Nebraska,7.4,636,good
60421,2011-08-26,Circumstance,7.4,23,good
36095,1997-11-06,Cure,7.4,63,good
948,1978-10-25,Halloween,7.4,1035,good
4550,2005-07-29,Sympathy for Lady Vengeance,7.4,356,good
1051,1971-10-09,The French Connection,7.4,422,good
228203,2015-02-20,"McFarland, USA",7.4,213,good
338,2003-02-09,"Good bye, Lenin!",7.4,586,good
10683,1998-10-16,Happiness,7.4,194,good
2013,2007-05-22,The Diving Bell and the Butterfly,7.4,283,good
8321,2008-02-08,In Bruges,7.4,1388,good
630,1939-08-15,The Wizard of Oz,7.4,1642,good
292539,2014-04-26,Food Chains,7.4,8,good
9806,2004-11-05,The Incredibles,7.4,5152,good
138843,2013-07-18,The Conjuring,7.4,3092,good
9693,2006-09-22,Children of Men,7.4,2071,good
767,2009-07-07,Harry Potter and the Half-Blood Prince,7.4,5293,good
38757,2010-11-24,Tangled,7.4,3330,good
252,1971-06-29,Willy Wonka & the Chocolate Factory,7.4,798,good
4960,2008-10-24,"Synecdoche, New York",7.4,278,good
273895,2014-12-25,Selma,7.4,817,good
186,2006-02-24,Lucky Number Slevin,7.4,1323,good
1933,2001-08-02,The Others,7.4,1660,good
12498,1996-08-30,Sling Blade,7.4,231,good
43949,2010-08-06,Flipped,7.4,418,good
4982,2007-11-02,American Gangster,7.4,1502,good
11113,1964-10-21,My Fair Lady,7.4,352,good
4133,2001-04-04,Blow,7.4,1317,good
672,2002-11-13,Harry Potter and the Chamber of Secrets,7.4,5815,good
783,1982-11-30,Gandhi,7.4,716,good
24428,2012-04-25,The Avengers,7.4,11776,good
433,1964-08-27,Mary Poppins,7.4,1183,good
2056,2003-01-26,The Station Agent,7.4,210,good
3080,1935-09-06,Top Hat,7.4,59,good
59436,2011-05-11,Midnight in Paris,7.4,1990,good
244403,2014-10-17,Rudderless,7.4,105,good
205220,2013-11-01,Philomena,7.4,579,good
642,1969-09-23,Butch Cassidy and the Sundance Kid,7.4,650,good
9008,1999-10-28,The Insider,7.3,481,good
568,1995-06-30,Apollo 13,7.3,1599,good
227306,2014-12-25,Unbroken,7.3,1400,good
8810,1981-12-24,Mad Max 2: The Road Warrior,7.3,957,good
1430,2002-10-09,Bowling for Columbine,7.3,453,good
198277,2013-09-07,Begin Again,7.3,1254,good
116,2005-10-26,Match Point,7.3,1105,good
69,2005-09-13,Walk the Line,7.3,718,good
9912,2005-10-12,The World's Fastest Indian,7.3,166,good
4174,1945-12-28,Spellbound,7.3,160,good
43418,2010-04-15,Beneath Hill 60,7.3,40,good
75656,2013-05-29,Now You See Me,7.3,5487,good
3089,1948-08-26,Red River,7.3,82,good
22013,1960-06-19,Elmer Gantry,7.3,41,good
228194,2014-08-06,The Hundred-Foot Journey,7.3,508,good
248,1961-12-18,Pocketful of Miracles,7.3,25,good
26963,2009-02-09,The Secret of Kells,7.3,181,good
36970,2009-10-17,Oceans,7.3,111,good
312221,2015-11-25,Creed,7.3,1915,good
688,1995-05-28,The Bridges of Madison County,7.3,385,good
9509,2004-04-23,Man on Fire,7.3,1553,good
14836,2009-02-05,Coraline,7.3,1386,good
191714,2013-09-19,The Lunchbox,7.3,221,good
1359,2000-04-13,American Psycho,7.3,2066,good
2501,2002-06-14,The Bourne Identity,7.3,3583,good
179144,2013-05-21,The Great Beauty,7.3,720,good
140823,2013-11-16,Saving Mr. Banks,7.3,1226,good
11362,2002-01-23,The Count of Monte Cristo,7.3,453,good
228326,2014-10-01,The Book of Life,7.3,755,good
9662,2003-06-11,The Triplets of Belleville,7.3,231,good
9549,1983-10-20,The Right Stuff,7.3,235,good
764,1981-10-15,The Evil Dead,7.3,894,good
1954,2004-01-22,The Butterfly Effect,7.3,2060,good
4951,1999-03-30,10 Things I Hate About You,7.3,1701,good
318846,2015-12-11,The Big Short,7.3,2607,good
34653,2009-10-19,A Single Man,7.3,463,good
2757,2002-12-06,Adaptation.,7.3,638,good
72086,1971-01-01,The Night Visitor,7.3,6,good
13689,2006-03-30,Peaceful Warrior,7.3,90,good
2639,1997-08-26,Deconstructing Harry,7.3,187,good
1360,2002-08-29,Frida,7.3,383,good
90369,2012-05-25,Now Is Good,7.3,371,good
4553,2004-02-09,The Machinist,7.3,1247,good
307081,2015-06-15,Southpaw,7.3,2067,good
49047,2013-09-27,Gravity,7.3,5751,good
44214,2010-12-02,Black Swan,7.3,4430,good
46838,2010-01-22,Tucker and Dale vs Evil,7.3,847,good
64682,2013-05-10,The Great Gatsby,7.3,3769,good
601,1982-04-03,E.T. the Extra-Terrestrial,7.3,3269,good
11615,2003-02-21,The Life of David Gale,7.3,480,good
168259,2015-04-01,Furious 7,7.3,4176,good
35199,2006-06-26,Wordplay,7.3,10,good
704,1964-07-06,A Hard Day's Night,7.3,168,good
