Date,Nino 3,Label
1899-May-01,0.05,Warm
1900-May-01,0.51,NinoTemp
1901-May-01,-0.56,LaNinaTemp
1902-May-01,0.23,Warm
1903-May-01,-0.31,Cold
1904-May-01,-0.24,Cold
1905-May-01,1.23,NinoTemp
1906-May-01,-0.18,Cold
1907-May-01,-0.69,LaNinaTemp
1908-May-01,-0.8,LaNinaTemp
1909-May-01,-0.69,LaNinaTemp
1910-May-01,-1.35,LaNinaTemp
1911-May-01,-1.32,LaNinaTemp
1912-May-01,0.09,Warm
1913-May-01,-0.49,Cold
1914-May-01,-0.24,Cold
1915-May-01,0.65,NinoTemp
1916-May-01,-0.8,LaNinaTemp
1917-May-01,-0.15,Cold
1918-May-01,0.14,Warm
1919-May-01,0.65,NinoTemp
1920-May-01,0.02,Warm
1921-May-01,-0.9,LaNinaTemp
1922-May-01,-0.13,Cold
1923-May-01,-0.27,Cold
1924-May-01,-1.14,LaNinaTemp
1925-May-01,-0.22,Cold
1926-May-01,0.82,NinoTemp
1927-May-01,-0.61,LaNinaTemp
1928-May-01,-0.28,Cold
1929-May-01,-0.02,Cold
1930-May-01,-0.12,Cold
1931-May-01,0.35,Warm
1932-May-01,0.45,Warm
1933-May-01,-0.51,LaNinaTemp
1934-May-01,-0.44,Cold
1935-May-01,-0.38,Cold
1936-May-01,-0.37,Cold
1937-May-01,-0.7,LaNinaTemp
1938-May-01,-0.37,Cold
1939-May-01,-0.16,Cold
1940-May-01,0.22,Warm
1941-May-01,1.2,NinoTemp
1942-May-01,-0.29,Cold
1943-May-01,-0.18,Cold
1944-May-01,-0.02,Cold
1945-May-01,-0.07,Cold
1946-May-01,-0.62,LaNinaTemp
1947-May-01,-0.43,Cold
1948-May-01,-0.01,Cold
1949-May-01,-0.12,Cold
1950-May-01,-1.33,LaNinaTemp
1951-May-01,-0.12,Cold
1952-May-01,-0.52,LaNinaTemp
1953-May-01,0.36,Warm
1954-May-01,-1.25,LaNinaTemp
1955-May-01,-1.52,LaNinaTemp
1956-May-01,-0.67,LaNinaTemp
1957-May-01,0.56,NinoTemp
1958-May-01,-0.16,Cold
1959-May-01,-0.15,Cold
1960-May-01,-0.17,Cold
1961-May-01,0.06,Warm
1962-May-01,-0.73,LaNinaTemp
1963-May-01,0.06,Warm
