Date,Nino 3
1964-July-01,-0.65
1965-July-01,0.94
1966-July-01,-0.18
1967-July-01,-0.42
1968-July-01,0.26
1969-July-01,0.3
1970-July-01,-1.68
1971-July-01,-0.62
1972-July-01,1.33
1973-July-01,-1.25
1974-July-01,-0.22
1975-July-01,-0.88
1976-July-01,0.85
1977-July-01,0.15
1978-July-01,-0.72
1979-July-01,-0.04
1980-July-01,-0.1
1981-July-01,-0.34
1982-July-01,0.62
1983-July-01,1.03
1984-July-01,-0.59
1985-July-01,-0.9
1986-July-01,0.03
1987-July-01,1.34
1988-July-01,-1.77
1989-July-01,-0.27
1990-July-01,-0.08
1991-July-01,0.74
1992-July-01,-0.01
1993-July-01,0.13
1994-July-01,-0.38
1995-July-01,-0.1
1996-July-01,-0.26
1997-July-01,2.27
1998-July-01,-0.17
1999-July-01,-0.64
2000-July-01,-0.58
2001-July-01,-0.17
2002-July-01,0.27
2003-July-01,0.01
2004-July-01,-0.03
2005-July-01,0.12
2006-July-01,-0.01
2007-July-01,-0.63
2008-July-01,0.33
2009-July-01,0.89
2010-July-01,-0.84
2011-July-01,0.06
2012-July-01,0.83
2013-July-01,-0.56
2014-July-01,0.56
2015-July-01,1.87
2016-July-01,-0.24
2017-July-01,0.08
2018-July-01,0.27
1870-August-01,-0.89
1871-August-01,-0.34
1872-August-01,-0.83
1873-August-01,-0.35
1874-August-01,-1.24
1875-August-01,-0.76
1876-August-01,-0.23
1877-August-01,1.58
1878-August-01,-0.1
1879-August-01,-0.57
1880-August-01,-0.09
1881-August-01,-0.32
1882-August-01,-0.71
1883-August-01,-0.11
1884-August-01,0.28
1885-August-01,0.03
1886-August-01,-1.1
1887-August-01,-0.73
1888-August-01,0.73
1889-August-01,-0.97
1890-August-01,-1.07
1891-August-01,0.1
1892-August-01,-0.67
1893-August-01,-0.97
1894-August-01,-0.66
1895-August-01,0.29
1896-August-01,1.03
1897-August-01,-0.19
1898-August-01,-0.62
1899-August-01,0.89
1900-August-01,0.58
1901-August-01,-0.54
1902-August-01,1.28
1903-August-01,-0.61
1904-August-01,0.81
1905-August-01,1.22
1906-August-01,-0.86
1907-August-01,-1.05
1908-August-01,-0.47
1909-August-01,-1.16
1910-August-01,-0.72
